Date,Open,High,Low,Close,Adj Close,Volume
17-11-2017,815.150024,815.150024,815.150024,815.150024,815.150024,0
20-11-2017,815.150024,815.150024,815.150024,815.150024,815.150024,0
21-11-2017,815.150024,815.150024,815.150024,815.150024,815.150024,0
22-11-2017,839.929993,840,839.929993,840,840,100
24-11-2017,840,840,840,840,840,100
27-11-2017,840,840,840,840,840,0
28-11-2017,840,840,840,840,840,0
29-11-2017,840,840,840,840,840,0
30-11-2017,840,840,840,840,840,0
01-12-2017,840,840,840,840,840,0
04-12-2017,840,840,840,840,840,0
05-12-2017,840,840,840,840,840,0
06-12-2017,840,840,840,840,840,0
07-12-2017,840,840,840,840,840,0
08-12-2017,840,840,840,840,840,0
11-12-2017,862.280029,868,862.280029,868,868,100
12-12-2017,868,868,868,868,868,0
13-12-2017,868,868,868,868,868,0
14-12-2017,868,868,868,868,868,0
15-12-2017,868,868,868,868,868,0
18-12-2017,868,868,868,868,868,0
19-12-2017,868,868,868,868,868,0
20-12-2017,868,868,868,868,868,0
21-12-2017,868,868,868,868,868,0
22-12-2017,868,868,868,868,868,100
26-12-2017,868,868,868,868,868,0
27-12-2017,868,868,868,868,868,0
28-12-2017,868,868,868,868,868,0
29-12-2017,868,868,868,868,868,0
02-01-2018,868,868,868,868,868,0
03-01-2018,881.75,887,881.75,887,887,100
04-01-2018,887,887,887,887,887,0
05-01-2018,887,887,887,887,887,0
08-01-2018,909.75,941.75,909.75,941.75,941.75,100
09-01-2018,941.75,941.75,941.75,941.75,941.75,0
10-01-2018,925.799988,925.799988,925.799988,925.799988,925.799988,100
11-01-2018,925.799988,925.799988,925.799988,925.799988,925.799988,0
12-01-2018,962,962,962,962,962,100
16-01-2018,962,962,962,962,962,0
17-01-2018,966.599976,966.599976,962,962,962,100
18-01-2018,962,962,962,962,962,0
19-01-2018,1003.75,1022.349976,1003.75,1022.349976,1022.349976,100
22-01-2018,1022.349976,1022.349976,1022.349976,1022.349976,1022.349976,0
23-01-2018,978.5,990.179993,978.5,990.179993,990.179993,100
24-01-2018,990.179993,990.179993,990.179993,990.179993,990.179993,0
25-01-2018,990.179993,990.179993,990.179993,990.179993,990.179993,0
26-01-2018,990.179993,990.179993,990.179993,990.179993,990.179993,0
29-01-2018,990.179993,990.179993,990.179993,990.179993,990.179993,0
30-01-2018,990.179993,990.179993,990.179993,990.179993,990.179993,0
31-01-2018,990.179993,990.179993,990.179993,990.179993,990.179993,0
01-02-2018,990.179993,990.179993,990.179993,990.179993,990.179993,0
02-02-2018,990.179993,990.179993,990.179993,990.179993,990.179993,0
05-02-2018,990.179993,990.179993,990.179993,990.179993,990.179993,0
06-02-2018,950,950,950,950,950,100
07-02-2018,950,950,950,950,950,0
08-02-2018,950,950,950,950,950,0
09-02-2018,950,950,950,950,950,0
12-02-2018,940,940,940,940,940,100
13-02-2018,940,940,940,940,940,0
14-02-2018,940,940,940,940,940,0
15-02-2018,966.400024,978,966.400024,978,978,100
16-02-2018,978,978,978,978,978,0
20-02-2018,978,978,978,978,978,0
21-02-2018,978,978,978,978,978,0
22-02-2018,978,978,978,978,978,0
23-02-2018,978,978,978,978,978,0
26-02-2018,978,978,978,978,978,0
27-02-2018,978,978,978,978,978,0
28-02-2018,978,978,978,978,978,0
01-03-2018,941,941,940,940,940,100
02-03-2018,940,940,940,940,940,0
05-03-2018,940,940,940,940,940,0
06-03-2018,940,940,940,940,940,0
07-03-2018,940,940,940,940,940,0
08-03-2018,949.48999,949.48999,949.48999,949.48999,949.48999,100
09-03-2018,951.099976,951.099976,951.099976,951.099976,951.099976,100
12-03-2018,951.099976,951.099976,951.099976,951.099976,951.099976,0
13-03-2018,951.099976,951.099976,951.099976,951.099976,951.099976,0
14-03-2018,951.099976,951.099976,951.099976,951.099976,951.099976,0
15-03-2018,951.099976,951.099976,951.099976,951.099976,951.099976,0
16-03-2018,951.099976,951.099976,951.099976,951.099976,951.099976,0
19-03-2018,951.099976,951.099976,951.099976,951.099976,951.099976,0
20-03-2018,963.450012,963.450012,963.450012,963.450012,963.450012,0
21-03-2018,963.450012,963.450012,963.450012,963.450012,963.450012,0
22-03-2018,963.450012,963.450012,963.450012,963.450012,963.450012,0
23-03-2018,963.450012,963.450012,963.450012,963.450012,963.450012,0
26-03-2018,963.450012,963.450012,963.450012,963.450012,963.450012,0
27-03-2018,963.450012,963.450012,963.450012,963.450012,963.450012,0
28-03-2018,947.400024,947.400024,947.400024,947.400024,947.400024,0
29-03-2018,947.400024,947.400024,947.400024,947.400024,947.400024,0
02-04-2018,947.400024,947.400024,947.400024,947.400024,947.400024,0
03-04-2018,947.400024,947.400024,947.400024,947.400024,947.400024,0
04-04-2018,955.099976,955.099976,955.099976,955.099976,955.099976,0
05-04-2018,955.099976,955.099976,955.099976,955.099976,955.099976,0
06-04-2018,955.099976,955.099976,955.099976,955.099976,955.099976,0
09-04-2018,955.099976,955.099976,955.099976,955.099976,955.099976,0
10-04-2018,955.099976,955.099976,955.099976,955.099976,955.099976,0
11-04-2018,965.23999,965.23999,965.23999,965.23999,965.23999,100
12-04-2018,962,962,962,962,962,100
13-04-2018,962,962,962,962,962,0
16-04-2018,962,962,962,962,962,0
17-04-2018,962,962,962,962,962,0
18-04-2018,973.200012,973.200012,973.200012,973.200012,973.200012,100
19-04-2018,973.200012,973.200012,973.200012,973.200012,973.200012,0
20-04-2018,973.200012,973.200012,973.200012,973.200012,973.200012,0
23-04-2018,973.200012,973.200012,973.200012,973.200012,973.200012,0
24-04-2018,955.700012,955.700012,955.700012,955.700012,955.700012,100
25-04-2018,955.700012,955.700012,955.700012,955.700012,955.700012,0
26-04-2018,955.700012,955.700012,955.700012,955.700012,955.700012,0
27-04-2018,955.700012,955.700012,955.700012,955.700012,955.700012,0
30-04-2018,955.700012,955.700012,955.700012,955.700012,955.700012,0
01-05-2018,955.700012,955.700012,955.700012,955.700012,955.700012,0
02-05-2018,955.700012,955.700012,955.700012,955.700012,955.700012,0
03-05-2018,975.130005,975.130005,970.130005,970.849976,970.849976,100
04-05-2018,970.849976,970.849976,970.849976,970.849976,970.849976,0
07-05-2018,979.98999,996.5,979.98999,991.5,991.5,100
08-05-2018,991.5,991.5,991.5,991.5,991.5,0
09-05-2018,991.5,991.5,991.5,991.5,991.5,0
10-05-2018,995.25,995.25,995.25,995.25,995.25,100
11-05-2018,995.25,995.25,995.25,995.25,995.25,0
14-05-2018,995.25,995.25,995.25,995.25,995.25,0
15-05-2018,995.25,995.25,995.25,995.25,995.25,0
16-05-2018,995.25,995.25,995.25,995.25,995.25,0
17-05-2018,995.25,995.25,995.25,995.25,995.25,0
18-05-2018,995.25,995.25,995.25,995.25,995.25,0
21-05-2018,995.25,995.25,995.25,995.25,995.25,0
22-05-2018,995.25,995.25,995.25,995.25,995.25,0
23-05-2018,970.210022,970.210022,970.210022,970.210022,970.210022,0
24-05-2018,970.210022,970.210022,970.210022,970.210022,970.210022,0
25-05-2018,970.210022,970.210022,970.210022,970.210022,970.210022,0
29-05-2018,970.210022,970.210022,970.210022,970.210022,970.210022,0
30-05-2018,970.210022,970.210022,970.210022,970.210022,970.210022,0
31-05-2018,970.210022,970.210022,970.210022,970.210022,970.210022,0
01-06-2018,970.210022,970.210022,970.210022,970.210022,970.210022,0
04-06-2018,970.210022,970.210022,970.210022,970.210022,970.210022,0
05-06-2018,959.849976,959.849976,959.849976,959.849976,959.849976,0
06-06-2018,959.849976,959.849976,959.849976,959.849976,959.849976,0
07-06-2018,959.849976,959.849976,959.849976,959.849976,959.849976,0
08-06-2018,968.849976,968.849976,960,960,960,100
11-06-2018,960,960,960,960,960,0
12-06-2018,960,960,960,960,960,100
13-06-2018,960,960,960,960,960,0
14-06-2018,960,960,960,960,960,0
15-06-2018,960,960,960,960,960,0
18-06-2018,960,960,960,960,960,0
19-06-2018,905.599976,905.599976,905.599976,905.599976,905.599976,100
20-06-2018,905.599976,905.599976,905.599976,905.599976,905.599976,0
21-06-2018,905.599976,905.599976,905.599976,905.599976,905.599976,0
22-06-2018,905.599976,905.599976,905.599976,905.599976,905.599976,0
25-06-2018,909,909,909,909,909,100
26-06-2018,909,909,909,909,909,0
27-06-2018,909,909,909,909,909,0
28-06-2018,909,909,909,909,909,0
29-06-2018,871,871,863.219971,863.219971,863.219971,100
02-07-2018,863.219971,863.219971,863.219971,863.219971,863.219971,0
03-07-2018,863.219971,863.219971,863.219971,863.219971,863.219971,0
05-07-2018,863.219971,863.219971,863.219971,863.219971,863.219971,0
